"","Fruits","TotalDens","RosRatio","PopSize"
"bio1",0.0859160849199421,-0.171870608160777,-1.3100737117532,-0.532916388522032
"bio2",0.551711118942113,-0.0816729889813394,0.353954762786939,-0.104888864572521
"bio4",0.186987010864271,0.474402439426882,-11.8534536381768,0.229991613610953
"bio5",-1.35051778461817,-0.0159672100886772,-1.15175372917247,0.15437469129321
"bio6",-0.0224543947479856,-0.449689164616217,-0.610906249207674,-0.593261599126462
"bio8",0.0800416809292647,-0.0318041218518987,0.182751555319125,-0.474975376363842
"bio9",0.00471350756729962,-0.240604162465045,0.132257299983633,-0.776602534650921
"bio10",0.190901821948286,0.128636204854137,9.57218294355881,0.512892790104293
"bio11",0.321219845617577,-0.339186839498617,-8.90918103199209,0.30324576583488
"bio12",-1.50335908177783,-0.0173507782261408,1.08461062640428,-0.34042661458799
"bio13",-0.192970538103536,0.0881705026144295,-0.252581959565309,0.495904839394319
"bio14",1.22009391504515,0.510425612188898,-0.214693047276292,-0.0915843565916695
"bio15",-0.44485212244129,0.131427738351077,0.402208184884785,0.133562465514556
"bio16",1.37104893481353,-0.572272246038882,0.0238002566664463,-0.531248908814618
"bio17",-0.662111688182494,-0.49105395412496,0.29336574690971,-0.175850279470356
"bio18",0.229721996459759,0.255817062060304,-0.513654107346259,0.745561145295124
"bio19",-0.577747513507605,0.69556138814066,-0.365807684424143,-0.223208530016438
"bio20",-1.06947814605319,0.368144780238164,-0.732209429769792,-2.70526141832708
"bio21",-0.0221803891969498,-0.456711218636144,-0.597868455187924,0.853582572787192
"bio22",0.114533291532116,-0.300164603831634,-0.733590846167662,-0.210464375559435
"bio23",0.701298118265686,0.521613365952645,-0.361103965437324,-1.28639706956693
"bio24",0.354967115777353,-0.197042628419943,-0.357898747635736,0.0589505623871648
"bio25",0.274215271522421,0.279837903034282,-0.431739328768394,0.624716137712915
"bio26",0.472020713544779,0.147786805053297,0.844180818111215,0.0789885853995234
"bio27",1.65223488411219,-0.0555880630306819,-0.621049743176247,0.933713570169807
"bio28",1.67296337679338,1.09534951775791,0.649754493973511,-0.49449694547505
"bio29",1.47862026819142,-0.504074764353638,-0.0586160001855726,-0.543640121519471
"bio30",0.479292903708712,-0.852645721715242,-0.506796153793498,-0.863641474006216
"bio31",0.538286283858509,0.325031805579568,0.846070068187673,-0.0494830074716247
"bio32",-2.21934829960998,0.291298158720615,-0.139163580002871,0.556784717719646
"bio33",0.569571440641113,-0.917428404903354,0.880285376385878,-0.638468927824458
"bio34",-0.74176179884792,-0.304515558935007,-1.01297072590608,-0.440989046921001
"bio35",-0.334541330321363,-0.865612177117702,-0.613924208441201,0.629959230712858
